worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":113,"unmatched":198,"nonMadrid":0,"invalid":0,"responseBytes":27111,"responseDurationMs":10,"timestamp":"2026-08-20T06:43:58.450Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":202,"nonMadrid":0,"invalid":0,"responseBytes":14378,"responseDurationMs":42,"timestamp":"2026-08-20T06:44:26.743Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":197,"nonMadrid":0,"invalid":0,"responseBytes":16686,"responseDurationMs":12,"timestamp":"2026-08-20T06:44:27.454Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":77,"invalid":0,"responseBytes":65305,"responseDurationMs":12,"timestamp":"2026-08-20T06:44:29.392Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":202,"nonMadrid":0,"invalid":0,"responseBytes":22710,"responseDurationMs":46,"timestamp":"2026-08-20T06:44:57.291Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":197,"nonMadrid":0,"invalid":0,"responseBytes":27363,"responseDurationMs":14,"timestamp":"2026-08-20T06:44:58.408Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":206,"nonMadrid":0,"invalid":0,"responseBytes":23132,"responseDurationMs":43,"timestamp":"2026-08-20T06:45:27.055Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":201,"nonMadrid":0,"invalid":0,"responseBytes":27735,"responseDurationMs":9,"timestamp":"2026-08-20T06:45:28.108Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":13,"timestamp":"2026-08-20T06:45:29.966Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":207,"nonMadrid":0,"invalid":0,"responseBytes":14738,"responseDurationMs":45,"timestamp":"2026-08-20T06:45:56.837Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":202,"nonMadrid":0,"invalid":0,"responseBytes":17259,"responseDurationMs":12,"timestamp":"2026-08-20T06:45:57.604Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":207,"nonMadrid":0,"invalid":0,"responseBytes":14713,"responseDurationMs":46,"timestamp":"2026-08-20T06:46:26.763Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":202,"nonMadrid":0,"invalid":0,"responseBytes":17120,"responseDurationMs":12,"timestamp":"2026-08-20T06:46:27.523Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":14,"timestamp":"2026-08-20T06:46:29.515Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":116,"unmatched":206,"nonMadrid":0,"invalid":0,"responseBytes":22917,"responseDurationMs":46,"timestamp":"2026-08-20T06:46:57.095Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":116,"unmatched":201,"nonMadrid":0,"invalid":0,"responseBytes":27697,"responseDurationMs":11,"timestamp":"2026-08-20T06:46:58.219Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":204,"nonMadrid":0,"invalid":0,"responseBytes":14429,"responseDurationMs":48,"timestamp":"2026-08-20T06:47:26.692Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":16830,"responseDurationMs":11,"timestamp":"2026-08-20T06:47:27.378Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":15,"timestamp":"2026-08-20T06:47:29.292Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":210,"nonMadrid":0,"invalid":0,"responseBytes":14881,"responseDurationMs":51,"timestamp":"2026-08-20T06:47:56.682Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":205,"nonMadrid":0,"invalid":0,"responseBytes":17540,"responseDurationMs":13,"timestamp":"2026-08-20T06:47:57.340Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":212,"nonMadrid":0,"invalid":0,"responseBytes":23519,"responseDurationMs":45,"timestamp":"2026-08-20T06:48:27.096Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":207,"nonMadrid":0,"invalid":0,"responseBytes":28368,"responseDurationMs":10,"timestamp":"2026-08-20T06:48:28.439Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":11,"timestamp":"2026-08-20T06:48:30.282Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":211,"nonMadrid":0,"invalid":0,"responseBytes":23529,"responseDurationMs":40,"timestamp":"2026-08-20T06:48:57.150Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":206,"nonMadrid":0,"invalid":0,"responseBytes":28496,"responseDurationMs":7,"timestamp":"2026-08-20T06:48:58.288Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":210,"nonMadrid":0,"invalid":0,"responseBytes":14889,"responseDurationMs":44,"timestamp":"2026-08-20T06:49:26.785Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":205,"nonMadrid":0,"invalid":0,"responseBytes":17476,"responseDurationMs":10,"timestamp":"2026-08-20T06:49:27.480Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":17,"timestamp":"2026-08-20T06:49:29.302Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":213,"nonMadrid":0,"invalid":0,"responseBytes":23645,"responseDurationMs":50,"timestamp":"2026-08-20T06:49:57.145Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":208,"nonMadrid":0,"invalid":0,"responseBytes":28563,"responseDurationMs":11,"timestamp":"2026-08-20T06:49:58.245Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":214,"nonMadrid":0,"invalid":0,"responseBytes":23742,"responseDurationMs":34,"timestamp":"2026-08-20T06:50:27.096Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":120,"unmatched":209,"nonMadrid":0,"invalid":0,"responseBytes":28550,"responseDurationMs":8,"timestamp":"2026-08-20T06:50:28.423Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":11,"timestamp":"2026-08-20T06:50:30.255Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":214,"nonMadrid":0,"invalid":0,"responseBytes":23512,"responseDurationMs":45,"timestamp":"2026-08-20T06:50:57.205Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":209,"nonMadrid":0,"invalid":0,"responseBytes":28490,"responseDurationMs":9,"timestamp":"2026-08-20T06:50:58.347Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":212,"nonMadrid":0,"invalid":0,"responseBytes":23442,"responseDurationMs":50,"timestamp":"2026-08-20T06:51:27.193Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":207,"nonMadrid":0,"invalid":0,"responseBytes":28172,"responseDurationMs":9,"timestamp":"2026-08-20T06:51:28.295Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":11,"timestamp":"2026-08-20T06:51:30.148Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":213,"nonMadrid":0,"invalid":0,"responseBytes":23380,"responseDurationMs":46,"timestamp":"2026-08-20T06:51:57.178Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
